glyph_name,sort_final,USV
.notdef,0,
.null,1,
nonmarkingreturn,2,
space,3,0020
exclam,4,0021
quotedbl,5,0022
numbersign,6,0023
dollar,7,0024
percent,8,0025
ampersand,9,0026
quotesingle,10,0027
parenleft,11,0028
parenright,12,0029
asterisk,13,002A
plus,14,002B
comma,15,002C
hyphen,16,002D
period,17,002E
slash,18,002F
zero,19,0030
zero.old,20,
one,21,0031
one.old,22,
two,23,0032
two.old,24,
three,25,0033
three.old,26,
four,27,0034
four.old,28,
five,29,0035
five.old,30,
six,31,0036
six.old,32,
seven,33,0037
seven.old,34,
eight,35,0038
eight.old,36,
nine,37,0039
nine.old,38,
colon,39,003A
semicolon,40,003B
less,41,003C
equal,42,003D
greater,43,003E
question,44,003F
at,45,0040
A,46,0041
B,47,0042
C,48,0043
D,49,0044
E,50,0045
F,51,0046
G,52,0047
H,53,0048
I,54,0049
J,55,004A
K,56,004B
L,57,004C
M,58,004D
N,59,004E
O,60,004F
P,61,0050
Q,62,0051
R,63,0052
S,64,0053
T,65,0054
U,66,0055
V,67,0056
W,68,0057
X,69,0058
Y,70,0059
Z,71,005A
bracketleft,72,005B
backslash,73,005C
bracketright,74,005D
asciicircum,75,005E
underscore,76,005F
grave,77,0060
a,78,0061
b,79,0062
c,80,0063
d,81,0064
e,82,0065
f,83,0066
g,84,0067
h,85,0068
i,86,0069
j,87,006A
k,88,006B
l,89,006C
m,90,006D
n,91,006E
o,92,006F
p,93,0070
q,94,0071
r,95,0072
s,96,0073
t,97,0074
u,98,0075
v,99,0076
w,100,0077
x,101,0078
y,102,0079
z,103,007A
braceleft,104,007B
bar,105,007C
braceright,106,007D
asciitilde,107,007E
uni00A0,108,00A0
exclamdown,109,00A1
cent,110,00A2
sterling,111,00A3
currency,112,00A4
yen,113,00A5
brokenbar,114,00A6
section,115,00A7
dieresis,116,00A8
copyright,117,00A9
ordfeminine,118,00AA
guillemotleft,119,00AB
logicalnot,120,00AC
uni00AD,121,00AD
registered,122,00AE
macron,123,00AF
degree,124,00B0
plusminus,125,00B1
uni00B2,126,00B2
uni00B3,127,00B3
acute,128,00B4
mu,129,00B5
paragraph,130,00B6
periodcentered,131,00B7
cedilla,132,00B8
uni00B9,133,00B9
ordmasculine,134,00BA
guillemotright,135,00BB
onequarter,136,00BC
onehalf,137,00BD
threequarters,138,00BE
questiondown,139,00BF
Agrave,140,00C0
Aacute,141,00C1
